------------ Options -------------
2023.07.16-14:05:15:196:[step-18400]--[loss-3.768135]--[loss-1.557480]--[ETA-2:22:24]
End of epoch 83 / 100 	 Time Taken: 503 sec
2023.07.16-14:09:02:74:[step-18500]--[loss-3.550762]--[loss-1.499917]--[ETA-2:23:06]
2023.07.16-14:12:48:174:[step-18600]--[loss-3.896717]--[loss-1.521981]--[ETA-2:14:57]
End of epoch 84 / 100 	 Time Taken: 503 sec
2023.07.16-14:16:37:52:[step-18700]--[loss-3.876968]--[loss-1.639678]--[ETA-2:11:25]
2023.07.16-14:20:23:152:[step-18800]--[loss-3.565256]--[loss-1.515483]--[ETA-2:08:27]
End of epoch 85 / 100 	 Time Taken: 504 sec
2023.07.16-14:24:11:30:[step-18900]--[loss-3.401363]--[loss-1.570183]--[ETA-2:06:30]
2023.07.16-14:27:57:130:[step-19000]--[loss-3.652247]--[loss-1.516755]--[ETA-2:01:42]
End of epoch 86 / 100 	 Time Taken: 503 sec
2023.07.16-14:31:45:8:[step-19100]--[loss-4.184641]--[loss-1.541938]--[ETA-1:55:59]
2023.07.16-14:35:31:108:[step-19200]--[loss-3.742758]--[loss-1.635681]--[ETA-1:52:26]
2023.07.16-14:39:17:208:[step-19300]--[loss-3.767766]--[loss-1.578782]--[ETA-1:49:22]
End of epoch 87 / 100 	 Time Taken: 503 sec
2023.07.16-14:43:04:86:[step-19400]--[loss-3.840679]--[loss-1.530626]--[ETA-1:44:39]
2023.07.16-14:46:50:186:[step-19500]--[loss-3.601205]--[loss-1.513529]--[ETA-1:41:12]
End of epoch 88 / 100 	 Time Taken: 502 sec
2023.07.16-14:50:38:64:[step-19600]--[loss-4.036530]--[loss-1.633035]--[ETA-1:38:06]
2023.07.16-14:54:24:164:[step-19700]--[loss-3.432246]--[loss-1.487380]--[ETA-1:33:47]
End of epoch 89 / 100 	 Time Taken: 503 sec
2023.07.16-14:58:12:42:[step-19800]--[loss-3.707627]--[loss-1.538061]--[ETA-1:30:14]
2023.07.16-15:01:58:142:[step-19900]--[loss-3.757411]--[loss-1.512940]--[ETA-1:26:35]
End of epoch 90 / 100 	 Time Taken: 503 sec
2023.07.16-15:05:46:20:[step-20000]--[loss-3.758329]--[loss-1.566774]--[ETA-1:22:11]
2023.07.16-15:09:32:120:[step-20100]--[loss-3.877681]--[loss-1.569383]--[ETA-1:18:39]
2023.07.16-15:13:17:220:[step-20200]--[loss-3.341453]--[loss-1.527196]--[ETA-1:15:16]
End of epoch 91 / 100 	 Time Taken: 503 sec
2023.07.16-15:17:05:98:[step-20300]--[loss-3.470214]--[loss-1.494662]--[ETA-1:11:08]
2023.07.16-15:20:52:198:[step-20400]--[loss-3.470668]--[loss-1.550883]--[ETA-1:07:37]
End of epoch 92 / 100 	 Time Taken: 503 sec
2023.07.16-15:24:39:76:[step-20500]--[loss-3.465169]--[loss-1.564090]--[ETA-1:04:19]
2023.07.16-15:28:26:176:[step-20600]--[loss-3.531635]--[loss-1.492497]--[ETA-1:00:16]
End of epoch 93 / 100 	 Time Taken: 504 sec
2023.07.16-15:32:14:54:[step-20700]--[loss-3.997879]--[loss-1.566002]--[ETA-0:56:20]
2023.07.16-15:36:01:154:[step-20800]--[loss-3.611492]--[loss-1.546001]--[ETA-0:54:07]
End of epoch 94 / 100 	 Time Taken: 504 sec
2023.07.16-15:39:49:32:[step-20900]--[loss-3.941734]--[loss-1.545507]--[ETA-0:48:50]
2023.07.16-15:43:35:132:[step-21000]--[loss-3.507023]--[loss-1.514082]--[ETA-0:45:03]
End of epoch 95 / 100 	 Time Taken: 503 sec
2023.07.16-15:47:23:10:[step-21100]--[loss-3.727613]--[loss-1.516569]--[ETA-0:41:41]
2023.07.16-15:51:08:110:[step-21200]--[loss-3.485328]--[loss-1.497979]--[ETA-0:37:26]
2023.07.16-15:54:54:210:[step-21300]--[loss-3.671631]--[loss-1.489471]--[ETA-0:33:40]
End of epoch 96 / 100 	 Time Taken: 502 sec
2023.07.16-15:58:41:88:[step-21400]--[loss-3.486228]--[loss-1.454664]--[ETA-0:30:00]
2023.07.16-16:02:26:188:[step-21500]--[loss-3.771055]--[loss-1.529691]--[ETA-0:26:22]
End of epoch 97 / 100 	 Time Taken: 502 sec
2023.07.16-16:06:14:66:[step-21600]--[loss-3.429419]--[loss-1.473728]--[ETA-0:22:22]
2023.07.16-16:09:59:166:[step-21700]--[loss-3.831884]--[loss-1.442050]--[ETA-0:18:40]
End of epoch 98 / 100 	 Time Taken: 502 sec
2023.07.16-16:13:47:44:[step-21800]--[loss-3.848308]--[loss-1.551780]--[ETA-0:14:58]
2023.07.16-16:17:33:144:[step-21900]--[loss-4.044990]--[loss-1.574448]--[ETA-0:11:24]
End of epoch 99 / 100 	 Time Taken: 502 sec
2023.07.16-16:21:20:22:[step-22000]--[loss-3.549531]--[loss-1.513182]--[ETA-0:07:35]
2023.07.16-16:25:05:122:[step-22100]--[loss-3.433872]--[loss-1.454012]--[ETA-0:03:45]
2023.07.16-16:28:51:222:[step-22200]--[loss-3.486496]--[loss-1.454109]--[ETA-0:08:21]
End of epoch 100 / 100 	 Time Taken: 503 sec
saving the model at the end of epoch 100, iters 22200
